,Date,Location,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
0,12/10/2021,VA,66.4,76.9
1,12/10/2021,WY,46.4,54.6
2,12/10/2021,GA,49.9,59.9
3,12/10/2021,PA,59.8,83.5
4,12/10/2021,WV,71.0,89.0
5,12/10/2021,MA,72.8,87.5
6,12/10/2021,CA,64.5,80.3
7,12/10/2021,MT,52.8,60.8
8,12/10/2021,CT,73.2,85.7
9,12/10/2021,WI,60.6,66.8
10,12/10/2021,HI,62.1,83.3
11,12/10/2021,IL,62.8,70.3
12,12/10/2021,MI,55.5,62.0
13,12/10/2021,NE,58.6,65.1
14,12/10/2021,IN,51.2,56.6
15,12/10/2021,CO,64.6,72.7
16,12/10/2021,WA,66.4,73.9
17,12/10/2021,FM,41.9,47.0
18,12/10/2021,NY,70.1,80.6
19,12/10/2021,VA2,0.0,0.0
20,12/10/2021,AZ,55.7,65.5
21,12/10/2021,RP,73.7,86.4
22,12/10/2021,MS,47.5,54.7
23,12/10/2021,KY,53.1,61.2
24,12/10/2021,IH2,38.4,48.1
25,12/10/2021,TX,55.7,65.1
26,12/10/2021,ID,45.7,51.3
27,12/10/2021,AS,66.7,79.9
28,12/10/2021,GU,74.1,82.2
29,12/10/2021,MH,28.7,32.7
30,12/10/2021,DC,65.9,84.1
31,12/10/2021,UT,56.7,65.6
32,12/10/2021,DE,62.7,74.6
33,12/10/2021,AR,50.1,61.4
34,12/10/2021,OK,52.4,64.1
35,12/10/2021,VT,74.7,86.9
36,12/10/2021,MD,69.0,78.2
37,12/10/2021,MN,63.9,70.0
38,12/10/2021,VI,49.7,57.9
39,12/10/2021,OH,54.1,59.3
40,12/10/2021,ME,73.9,83.4
41,12/10/2021,AK,55.3,63.9
42,12/10/2021,BP2,0.0,0.0
43,12/10/2021,MO,51.9,60.9
44,12/10/2021,FL,62.3,72.8
45,12/10/2021,RI,74.5,85.3
46,12/10/2021,NH,65.4,90.7
47,12/10/2021,IA,57.8,63.5
48,12/10/2021,DD2,0.0,0.0
49,12/10/2021,LA,49.4,56.3
50,12/10/2021,NJ,69.0,80.8
51,12/10/2021,PR,75.1,86.3
52,12/10/2021,MP,72.5,80.3
53,12/10/2021,SC,52.2,61.3
54,12/10/2021,NV,55.3,67.5
55,12/10/2021,KS,55.6,67.4
56,12/10/2021,US,60.6,71.7
57,12/10/2021,TN,50.2,57.6
58,12/10/2021,AL,46.8,57.4
59,12/10/2021,NM,64.7,78.2
60,12/10/2021,NC,55.3,72.4
61,12/10/2021,OR,65.1,72.5
62,12/10/2021,ND,49.6,59.0
63,12/10/2021,SD,55.8,68.7
64,12/09/2021,BP2,0.0,0.0
65,12/09/2021,WY,46.4,54.6
66,12/09/2021,RP,73.7,86.3
67,12/09/2021,NE,58.5,64.9
68,12/09/2021,FM,41.8,46.9
69,12/09/2021,VA,66.3,76.7
70,12/09/2021,MT,52.7,60.7
71,12/09/2021,WV,69.0,86.7
72,12/09/2021,LA,49.4,56.2
73,12/09/2021,OH,54.0,59.2
74,12/09/2021,MP,72.3,80.0
75,12/09/2021,AK,55.3,63.8
76,12/09/2021,NM,64.6,78.0
77,12/09/2021,US,60.5,71.5
78,12/09/2021,AL,46.7,57.3
79,12/09/2021,MO,51.8,60.8
80,12/09/2021,CT,73.1,85.5
81,12/09/2021,VT,74.5,86.7
82,12/09/2021,AS,66.7,79.9
83,12/09/2021,CA,64.4,80.1
84,12/09/2021,DD2,0.0,0.0
85,12/09/2021,DE,62.6,74.4
86,12/09/2021,PR,75.0,86.2
87,12/09/2021,ND,49.6,58.9
88,12/09/2021,MD,68.8,78.1
89,12/09/2021,KY,53.0,61.1
90,12/09/2021,MA,72.6,87.3
91,12/09/2021,NH,65.3,90.4
92,12/09/2021,SD,55.6,68.5
93,12/09/2021,VI,49.6,57.8
94,12/09/2021,HI,62.0,83.1
95,12/09/2021,SC,52.1,61.2
96,12/09/2021,MI,55.5,62.0
97,12/09/2021,NC,55.2,72.2
98,12/09/2021,FL,62.0,72.5
99,12/09/2021,IN,51.1,56.5
100,12/09/2021,DC,65.7,83.7
101,12/09/2021,IA,57.7,63.4
102,12/09/2021,WI,60.5,66.7
103,12/09/2021,GU,74.0,82.0
104,12/09/2021,TN,50.2,57.5
105,12/09/2021,IH2,38.3,48.0
106,12/09/2021,OR,65.0,72.3
